CustomerID,CustomerName,Email,Phone,SignupDate,Region,LoyaltyPoints,AccountStatus,LastLogin,PreferredLanguage,PreferredPaymentMethod,LastPurchaseDate,Address
C00001,Tracy Graham,,+1-428-769-0709x8761,2024-10-20,UK,48,Inactive,2024-10-06 22:10:46,Chinese,Credit Card,2025-01-26 22:01:31,"29600 Meza Inlet Apt. 746, Kellyview, WY 64292"
C00002,Maria Williamson,stephanieturner@example.org,000-123,2024-11-25,UK,751,Active,2025-02-25 20:08:32,Spanish,Credit Card,2025-05-09 07:25:36,"3139 Harrison Way, Lake Justinside, WI 94841"
C00003,rachel tanner,tracykim@example.net,578-829-6175x715,2024-05-07,UK,78,Suspended,2025-04-06 16:27:03,English,Bank Transfer,2024-10-06 01:48:08,"20941 Jay Parks Suite 627, Katherineburgh, FL 94352"
C00004,William Wilson,markcook@example.net,+1-591-669-3947,2023-12-08,UK,426,Suspended,2025-02-09 19:30:37,Spanish,Bank Transfer,2024-07-10 21:17:43,"1015 Jennifer Forest Apt. 461, Butlerview, GA 85502"
C00005,John Baker,jestrada@example.org,768.651.0777,2024-02-28,US,445,Active,2025-05-07 12:03:54,German,Credit Card,2025-05-10 07:57:19,"272 Smith Grove Suite 319, Billyville, MI 90239"
C00006,Cody Myers,frankwu@example.org,212.333.0942x765,2023-10-30,CA,695,Active,2024-12-27 01:40:45,Spanish,Credit Card,2025-04-21 17:12:38,"25112 Joseph Harbor, Lake Hollybury, MH 71769"
C00007,Rachel Page,lopezlynn@example.org,2478034101,2023-10-21,CA,413,Suspended,2024-08-21 22:10:55,Chinese,PayPal,2024-12-19 18:10:57,"2054 Gentry Circles Suite 419, Thomaston, MS 36215"
C00008,Lauren Hale,richardwaller@example.com,001-478-868-5448x5576,2024-04-27,US,69,Active,2024-09-14 03:25:18,German,PayPal,2024-10-02 13:10:07,"171 Michael Bridge, North Christopherville, MA 40620"
C00009,Robin Jones,jessica07@example.org,207.452.5376x66567,2023-08-18,APAC,761,Inactive,2024-10-25 20:33:34,Spanish,Credit Card,2024-07-30 18:16:48,"01078 Tonya Tunnel, South Christopherbury, MS 95323"
C00010,Heidi Odom,gonzalezmelanie@example.com,001-792-289-3008x6335,2023-12-15,UK,905,Suspended,2025-04-20 01:19:57,German,Bank Transfer,2024-09-14 19:55:24,"38509 Lewis Rest Suite 195, Port Stevenport, WA 93553"
C00011,Maria Savage,amyjoseph@example.org,341-714-7508x0766,2024-09-15,US,13,Active,2025-01-20 16:37:04,German,Bank Transfer,2024-11-22 01:34:22,"09533 Cindy Loop Apt. 710, South Anthony, WV 50510"
C00012,Robert Anderson,johncolon@example.org,(372)860-4269x023,2025-03-16,US,51,Active,2025-06-08 20:37:59,French,PayPal,2024-08-25 02:05:04,"034 Gill Loaf Suite 214, Port Sharon, NE 35355"
C00013,Michael Wood,mschultz@example.net,339.668.0374x45255,2023-07-22,UK,565,Suspended,2024-12-25 00:43:39,French,Bank Transfer,2024-09-08 04:34:15,"06500 Tiffany Curve Apt. 428, North Morgan, MP 26704"
C00014,Emily Villegas,vpratt@example.net,001-260-732-0375,2024-05-23,UK,775,Active,2024-07-04 19:26:52,French,Bank Transfer,2024-08-30 00:38:51,"72971 Stewart Club Apt. 169, Port Chelseaview, CA 95051"
C00015,Meredith Watts,katelyngriffin@example.net,+1-665-619-0773x84263,2024-10-26,US,0,Active,2025-05-20 16:58:17,Chinese,Credit Card,2025-04-01 03:26:59,"0472 Mary Cliffs, North Nicole, AL 30790"
C00016,Jennifer Le,randallgarcia@example.net,(744)252-1840x7284,2024-05-18,APAC,216,Suspended,2024-07-27 20:13:38,German,Bank Transfer,2025-02-11 22:40:18,"49882 Booth Overpass, Lopezfort, PR 22605"
C00017,Stacy Ford,virginia91@example.com,+1-285-278-5567x57423,2025-05-01,EU,378,Active,2024-11-19 04:16:50,Spanish,PayPal,2024-08-16 20:02:12,"328 Gregory Stravenue, Lisafort, WI 04370"
C00018,David Gardner,bradshawmichelle@example.org,(408)948-5406x183,2024-07-28,EU,527,Inactive,2024-07-02 01:20:58,French,Credit Card,2024-09-03 00:57:07,"80723 Brandon Avenue, North Joshua, MI 54436"
C00019,Richard Arroyo,lsmith@example.com,8104539378,2023-07-10,EU,999,Active,2025-01-24 05:32:13,German,Credit Card,2024-12-21 04:58:57,"2504 Duffy Stravenue Apt. 006, New Ronaldport, TX 86326"
C00020,Manuel Flowers,mmcconnell@example.com,252-934-9622x81059,2023-08-13,EU,168,Active,2024-10-15 19:28:33,English,Bank Transfer,2024-12-04 21:08:25,"8682 Kaitlyn Fort Suite 423, Montgomerybury, OK 73206"
C00021,Paula Fernandez,dianegiles@example.net,323-579-5776,2024-10-20,UK,738,Inactive,2025-03-06 03:30:41,English,Bank Transfer,2024-12-02 14:07:47,"74153 Anderson Rapid Apt. 121, Lake Matthew, ND 92302"
C00022,Richard Taylor,heidimckay@example.net,7659476869,2024-12-22,CA,418,Suspended,2025-06-06 07:06:47,German,Bank Transfer,2025-02-04 16:58:12,"PSC 3462, Box 8488, APO AE 59038"
C00023,Christopher Boyer,philip89@example.net,8658420853,2024-09-13,CA,22,Active,2025-03-20 02:16:29,German,PayPal,2025-03-13 11:46:14,"23261 Jones Ways, West Keithmouth, OH 64228"
C00024,Joseph Patrick,alexjenkins@example.net,464.903.7780,2024-04-05,CA,588,Active,2025-03-18 15:11:39,Spanish,Credit Card,2024-08-07 11:21:03,"81372 Joshua Place Suite 273, Jacksonland, PR 67757"
C00025,Nathan Smith,kelliwhitehead@example.com,+1-943-470-9672x57876,2023-11-30,CA,895,Active,2025-01-12 05:49:40,English,Credit Card,2025-05-12 16:07:01,"23070 Wright Underpass, Port Jenniferside, SD 36941"
C00026,Christopher Acevedo,johnathan74@example.org,+1-958-977-8923x7432,2024-10-09,CA,562,Active,2024-07-03 07:25:40,Chinese,PayPal,2024-09-12 10:58:06,"61701 Bowman Shoals Suite 162, Warrenborough, PA 53325"
C00027,Gregory Newman,heather63@example.org,001-808-862-3808x86511,2023-09-13,UK,973,Suspended,2025-03-18 21:56:00,German,Credit Card,2024-10-15 21:14:01,"4706 Parsons Burgs, Laurenbury, NM 95609"
C00028,Jasmin Nelson,robert58@example.net,001-738-309-0736x91847,2024-11-23,APAC,967,Suspended,2025-05-28 14:18:52,Chinese,Bank Transfer,2024-11-20 20:43:04,"13573 Harris Ridges Suite 692, Garciaburgh, CT 85982"
C00029,Anthony Jones,stephanieleblanc@example.org,+1-887-972-2723x740,2023-08-27,US,260,Inactive,2025-04-12 07:57:27,Chinese,Credit Card,2025-04-24 12:48:41,"041 Martin Corners Apt. 921, East Lisa, FM 74100"
C00030,Jared Paul,justinyoung@example.net,+1-899-350-0912x34423,2025-01-08,CA,458,Active,2024-12-06 12:11:07,English,Credit Card,2025-02-24 18:54:02,"565 David Flats Suite 428, Georgebury, KY 02178"
C00031,Juan Smith,patty50@example.org,(280)527-1338x361,2024-01-22,CA,316,Active,2025-06-09 19:20:30,French,Bank Transfer,2025-01-28 11:03:10,"308 Stokes Terrace, Evanshaven, CA 20215"
C00032,William Griffith,alicewhite@example.net,(422)819-5924x932,2024-05-12,US,823,Suspended,2025-04-17 20:52:03,English,Credit Card,2024-09-15 17:13:56,"9447 Morales Track Apt. 001, East Nathanville, NH 37360"
C00033,Shannon Tapia,thill@example.net,+1-996-546-0980x33339,2024-09-23,APAC,88,Suspended,2024-11-23 17:46:24,German,Credit Card,2024-09-25 11:35:36,"2018 Leah Field, Lake Sarah, GA 23065"
C00034,Eric Miller,jeremy90@example.net,281-895-2212,2024-02-10,APAC,819,Inactive,2025-01-25 23:19:22,French,Bank Transfer,2024-08-08 04:01:13,"PSC 4072, Box 2535, APO AA 91971"
C00035,Sherry Farrell,mckenziemichael@example.org,952.308.5481x4048,2023-10-21,UK,737,Suspended,2024-11-16 15:12:32,French,PayPal,2024-11-28 20:38:21,"11428 Nguyen Drive, Port Tammyberg, WI 87895"
